event,key,timestamp
press,'k',1767513469.199986
release,'k',1767513469.289033
press,'m',1767513469.657648
release,'m',1767513469.748047
press,'n',1767513470.0256808
release,'n',1767513470.109555
press,'h',1767513470.361634
release,'h',1767513470.425896
press,'s',1767513470.5169191
release,'s',1767513470.6275342
press,'t',1767513470.711937
release,'t',1767513470.772119
press,'h',1767513471.337069
release,'h',1767513471.40315
press,'d',1767513471.855248
release,'d',1767513471.9677389
press,'h',1767513472.3426921
release,'h',1767513472.390049
press,'n',1767513472.502956
release,'n',1767513472.591705
press,Key.space,1767513472.811893
release,Key.space,1767513472.89225
press,'g',1767513473.671992
release,'g',1767513473.730926
press,'h',1767513473.854847
release,'h',1767513473.926969
press,'e',1767513474.0465438
release,'e',1767513474.150719
press,'n',1767513474.304619
release,'n',1767513474.3731709
press,'d',1767513474.778749
release,'d',1767513474.861367
press,'g',1767513474.9395
release,'g',1767513474.987512
press,'u',1767513475.131094
release,'u',1767513475.1996841
press,'n',1767513475.3856199
release,'n',1767513475.453614
press,'g',1767513475.769794
release,'g',1767513475.85645
press,Key.space,1767513475.901335
release,Key.space,1767513475.965266
press,Key.esc,1767513486.02626
release,Key.esc,1767513486.0898108
